Date,Prophet_Emissions,ARIMA_Emissions,Prophet_Temperature,ARIMA_Temperature
1970-01-01,24507.48656994604,0.0,-0.04901894384000044,0.0
1971-01-01,24894.13810023316,37191.89669492498,-0.035957043170715575,0.0257999998858608
1972-01-01,25226.10680158269,26470.611396916025,-0.03398973061584515,-0.05087136538927252
1973-01-01,25664.170156673663,26375.764206476117,0.003893800282093851,0.011165224041682437
1974-01-01,26105.30398919821,27463.58917814764,0.028055362560313657,0.07591713513554134
1975-01-01,26491.95551926139,26612.15446571484,0.04111726323122683,-0.04686214310845285
1976-01-01,26823.589863443063,26348.156015713037,0.0430845757931988,0.02992725253636474
1977-01-01,27261.317945386836,28123.09813317541,0.08096810670123195,-0.04697428932462631
1978-01-01,27679.036709702177,28702.25074686925,0.10512966898596277,0.08278842729624908
1979-01-01,28041.478801189296,29401.88128948601,0.1181915696606049,0.018022318885998
1980-01-01,28349.23806373906,30080.842877279338,0.12015888222083138,0.12183724326200213
1981-01-01,28762.90746276977,29138.15778198708,0.15804241312050737,0.19548921769288327
1982-01-01,29179.713989544736,28233.397583976555,0.18220397539585587,0.2410680816535611
1983-01-01,29542.03821366209,28102.50921054563,0.1952658760695672,0.1753423165367227
1984-01-01,29849.67960936522,28646.991283920714,0.1972331886359177,0.2999084150663545
1985-01-01,30263.349008725076,29917.428684384064,0.23511671954842284,0.1829606716032194
1986-01-01,30680.15553753936,30054.702166609215,0.2592782818320103,0.1671212462325287
1987-01-01,31042.479763892352,30596.479134778438,0.27234018250833214,0.19398752988346257
1988-01-01,31350.121161933657,31524.346815890396,0.27430749507423846,0.23942945837493573
1989-01-01,31763.790563849972,32679.378630781688,0.3121910259809966,0.2900445382022018
1990-01-01,32180.597093502074,33061.55177945987,0.33635258826343706,0.27116118162819425
1991-01-01,32542.988107298046,33164.31729136545,0.3494144889377835,0.4049836742117315
1992-01-01,32850.696292156244,32961.65365027953,0.35138180149774995,0.37023509080833494
1993-01-01,33264.50971678121,32695.272136975917,0.389265332664233,0.28756723474517676
1994-01-01,33681.45987563713,32797.71550218826,0.4134268952056954,0.3066578914666856
1995-01-01,34044.459783549624,33352.02679307401,0.42648879614518004,0.30353399076588633
1996-01-01,34353.636659064396,34559.905758947454,0.4284561089837498,0.3521545801006871
1997-01-01,34768.845745030056,35203.25952305884,0.46633964016912266,0.3118162074882299
1998-01-01,35266.19907310385,35462.58122705373,0.4905012479547125,0.4299534496276117
1999-01-01,35709.07009871691,35284.44025789388,0.503563194133042,0.5082405913015802
2000-01-01,36097.91559594916,35512.168431475926,0.5055305556839566,0.39786080649854444
2001-01-01,37081.96403488925,36837.60207940504,0.5434141371690039,0.45408639310898136
2002-01-01,38067.59118889267,36871.78922670373,0.5675757498912215,0.5040401129689527
2003-01-01,38998.94686997616,37329.0242266176,0.5806377011459197,0.5270369975270366
2004-01-01,39875.61972212315,39552.91179392237,0.582605064286394,0.5596321827182
2005-01-01,40859.879568432174,41413.67570837507,0.6204886892556294,0.5574192686406934
2006-01-01,41845.71755177678,42649.273279820234,0.6446503453432934,0.6489379476011015
2007-01-01,42777.073232660376,43706.62446156404,0.6577123398236923,0.6101088914941233
2008-01-01,43653.64240095849,45011.84701035842,0.6596797461974399,0.6422480681879329
2009-01-01,44637.798279139155,44638.81170685128,0.6975633711743882,0.5910124233139696
2010-01-01,45623.53257778508,43531.56278260758,0.7217250272729576,0.6502251757226679
2011-01-01,46554.58710308782,47252.86551531354,0.7347870217654922,0.6680286255260939
2012-01-01,47430.95879945369,48564.71874586457,0.7367544281436069,0.6106039875968766
2013-01-01,47940.78640685964,48665.10448932644,0.7746380531208985,0.6632217383025019
2014-01-01,48453.48841466181,49411.930151226625,0.7987997092165786,0.6646133479846738
2015-01-01,48911.708120003124,49435.4507189092,0.8118617037050644,0.6960457288129341
2016-01-01,49315.24499640567,48899.389281797434,0.813829110079059,0.797492425169456
2017-01-01,49825.072603810666,49254.30177829754,0.8517127350562264,0.8897977198567233
2018-01-01,50337.774611613786,50487.756371071446,0.8758743911520118,0.8884923839163082
2019-01-01,50795.99431695651,51992.19974503429,0.8889363856404421,0.8974365555043194
2020-01-01,51199.53119335838,51771.5926247596,0.8909037920144736,0.9649647947738993
2021-01-01,51709.35880076414,48203.64964979289,0.9287874169917232,0.9548865083642626
2022-01-01,52222.06080856657,52670.584134634715,0.9529490730874522,0.8832648439581089
2023-01-01,52680.28051390713,52606.24553808954,0.9660110675758375,0.9332948474118421
2023-12-31,52265.87467476579,53836.65955158448,0.7886069226971759,1.0581185071302441
2024-12-31,53432.55745702979,54710.41824446597,0.9588757640815952,0.9872902063454003
2025-12-31,53726.4735973373,55584.17693734745,0.93874677018218,1.0171613781182307
2026-12-31,53965.625735460475,56457.93563022894,0.907654614180744,1.0512485477018076
2027-12-31,54150.16087171922,57331.69432311042,0.8656816046332414,1.0361408706013597
2028-12-31,55316.84365398244,58205.45301599191,1.0359504460169886,1.0239614388129425
2029-12-31,55610.759794288104,59079.211708873394,1.0158214521171975,1.029696938837458
